OBJECTID,GlobalID,headCount,GUID,Name,Count,CreationDate,Creator,EditDate,Editor
1,e90200bd-8356-4756-ad2d-9406a6289ac8,,7227039c-23e1-4ca4-ac4c-502f0929edbe,,10,3/16/2023 9:15:01 PM,fherrera11_ucmerced,3/16/2023 9:15:01 PM,fherrera11_ucmerced
2,620bcc97-7f62-4c10-9793-f0babf9b9ed4,,bad3bb01-8fe8-4000-bd00-9358fa12248d,,50,3/16/2023 9:16:37 PM,fherrera11_ucmerced,3/16/2023 9:16:37 PM,fherrera11_ucmerced
3,fd557fb5-5551-486e-b73e-227c9aae43b1,,9a586f47-7a82-450c-8cfd-dca7c20c097b,,100,3/16/2023 9:17:15 PM,fherrera11_ucmerced,3/16/2023 9:17:15 PM,fherrera11_ucmerced
4,5114f9b6-8638-4935-88ad-ef0b5b7f77bc,,7227039c-23e1-4ca4-ac4c-502f0929edbe,,100,3/16/2023 9:25:13 PM,fherrera11_ucmerced,3/16/2023 9:25:13 PM,fherrera11_ucmerced
5,cc015ee2-587f-4720-88e7-122ec8993dcc,,7227039c-23e1-4ca4-ac4c-502f0929edbe,,50,3/23/2023 4:56:23 PM,fherrera11_ucmerced,3/23/2023 4:56:23 PM,fherrera11_ucmerced
6,35b85367-28e7-47de-bb69-59409b8ba9e0,,03ab0ee7-1cee-422f-83a7-39f2b9d6edc6,,95,3/23/2023 5:22:16 PM,fherrera11_ucmerced,3/23/2023 5:22:16 PM,fherrera11_ucmerced
7,aaca79ac-f264-4508-8604-1651f63cf30d,,7227039c-23e1-4ca4-ac4c-502f0929edbe,,60,3/23/2023 5:22:56 PM,fherrera11_ucmerced,3/23/2023 5:22:56 PM,fherrera11_ucmerced
8,e6f069b0-f200-455b-b023-e97b49895258,,7227039c-23e1-4ca4-ac4c-502f0929edbe,,105,3/23/2023 5:24:21 PM,fherrera11_ucmerced,3/23/2023 5:24:21 PM,fherrera11_ucmerced
9,28279d1d-a35e-43eb-a702-66ec43a21d8e,,7227039c-23e1-4ca4-ac4c-502f0929edbe,,200,3/23/2023 6:29:15 PM,fherrera11_ucmerced,3/23/2023 6:29:15 PM,fherrera11_ucmerced
10,779b154a-dcde-43de-8523-601612d2e463,,7227039c-23e1-4ca4-ac4c-502f0929edbe,,50,3/23/2023 7:29:32 PM,fherrera11_ucmerced,3/23/2023 7:29:32 PM,fherrera11_ucmerced
11,3a9ffa45-c4df-46e1-8649-e9cb128b5870,,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,100,3/30/2023 7:14:09 PM,fherrera11_ucmerced,3/30/2023 7:14:09 PM,fherrera11_ucmerced
12,b4b7ee13-cf09-4c4c-9846-0373aed10faa,,5f9fa78e-df42-49bd-9e0b-eeffd51e107b,,40,3/30/2023 7:14:29 PM,fherrera11_ucmerced,3/30/2023 7:14:29 PM,fherrera11_ucmerced
13,e518e30f-64a6-4d3a-a6f5-48fff7655b6e,,abb0c4b6-2ba6-4bd5-b14e-e38ac2231d38,,5,3/30/2023 7:14:48 PM,fherrera11_ucmerced,3/30/2023 7:14:48 PM,fherrera11_ucmerced
14,78843afd-d1c6-4392-b82d-dc449ddb1328,,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,4,3/30/2023 7:15:06 PM,fherrera11_ucmerced,3/30/2023 7:15:06 PM,fherrera11_ucmerced
15,12e58edf-2dba-48c2-8726-808d6ccfb3cd,,657f9095-253f-4b5b-9267-7c8cacb5236c,,4,3/30/2023 7:15:21 PM,fherrera11_ucmerced,3/30/2023 7:15:21 PM,fherrera11_ucmerced
16,01aaa985-2d71-4f6d-b1c4-d7f8c17c5489,,d393b22e-e47a-4934-b16b-0dbde07a06d0,,3,3/30/2023 7:15:32 PM,fherrera11_ucmerced,3/30/2023 7:15:32 PM,fherrera11_ucmerced
17,fc504e07-7863-4032-ae8e-05c59a029a0b,,f3612386-ae51-4f87-8d15-42d2cb28b96b,,2,3/30/2023 7:15:43 PM,fherrera11_ucmerced,3/30/2023 7:15:43 PM,fherrera11_ucmerced
